DataID,Species,Family,Order,CommonName,StudySite,Reference
LT0013,Callorhinus ursinus,Otariidae,Carnivora,northern fur seals,"Pribilof Islands, Alaska","Lander, R. (1981) A life table and biomass estimate for Alaskan fur seals. Fisheries Research, 1:55-70"
LT0098,Spermophilus beldingi,Sciuridae,Rodentia,Belding's ground squirrel,"Tioga Pass Meadow, Central Seirra Nevada, California","Sherman P.W. and Morton M.L. (1984) Demography of Belding's ground squirrels. Ecology, 65(5):1617-1628"
LT0100,Spermophilus columbianus,Sciuridae,Rodentia,Columbian ground squirrel,"Rocky Mountains, Southwestern Alberta","Zammuto R.M (1987) Life histories of mammals: analyses among and within Spermophilus columbianus life tables. Ecology, 68(5):1351-1363"
LT0106,Spermophilus dauricus,Sciuridae,Rodentia,Daurian ground squirrel,"Steppe-desert zone Inner Mongolian, northeastern China","Luo, J. and Fox B.J. (1990) Life-table comparisons between two Ground Squirrels. Journal of Mammalogy, 71(3):364-370"
LT0107,Spermophilus lateralis,Sciuridae,Rodentia,Golden-Mantled ground squirrel,"North-Eastern Sierra Nevada, California","Bronson M.T. (1979) Altitudinal variation in the life history of the golden-mantled ground squirrel (Spermophilus lateralis). Ecology, 60(2):272-279"
LT0148,Propithecus edwardsi,Lemuridae,Primates,Milne-Edwards' sifakas,Ranomafana National Park,"Pochron S. T., Tucker W. T., and Wright, P.C. (2004). Demography, life history, and social structure in Propithecus diadema edwardsi from 1986-2000 in Ranomafana National Park, Madagascar. American Journal of Physical Anthropology, 125(1):61-72."
LT0150,Macaca nemestrina,Cercopithecidae,Primates,Pigtailed macaques,"Medical Lake, Washington","Ha, J.C., Robinette, R. L., & Sackett, G. P. (2000). Demographic analysis of the Washington Regional Primate Research Center pigtailed macaque colony, 1967Ð1996. American Journal of Primatology: Official Journal of the American Society of Primatologists, 52(4):187-198."
LT0187,Propithecus verreauxi,Lemuridae,Primates,Verreaux's sifaka,Madagascar,"Bronikowski, A.M., Cords, M., Alberts, S.C., Altmann, J., Brockman, D.K., Fedigan, L.M., Pusey, A., Stoinski, T., Strier, K.B., & Morris, W.F. (2016). Female and male life tables for seven wild primate species. Scientific Data, 3:160006. DOI: 10.1038/sdata.2016.6"
LT0188,Brachyteles hypoxanthus,Atelidae,Primates,Northern muriqui,Brazil,"Bronikowski, A.M., Cords, M., Alberts, S.C., Altmann, J., Brockman, D.K., Fedigan, L.M., Pusey, A., Stoinski, T., Strier, K.B., & Morris, W.F. (2016). Female and male life tables for seven wild primate species. Scientific Data, 3:160006. DOI: 10.1038/sdata.2016.6"
LT0189,Cebus capucinus,Cebidae,Primates,Colombian white-faced capuchin,Costa Rica,"Bronikowski, A.M., Cords, M., Alberts, S.C., Altmann, J., Brockman, D.K., Fedigan, L.M., Pusey, A., Stoinski, T., Strier, K.B., & Morris, W.F. (2016). Female and male life tables for seven wild primate species. Scientific Data, 3:160006. DOI: 10.1038/sdata.2016.6"
LT0203,Helogale parvula,Herpestidae,Carnivora,Common dwarf mongoose,Sangere,"Sinclair, A. R. E., & Arcese, P. (Eds.). (1995). Serengeti II: dynamics, management, and conservation of an ecosystem. University of Chicago Press."
LT0229,Lemur catta,Lemuridae,Primates,Ring-tailed lemur,"St. Catherines Island, Georgia, USA","Parga, J. A., & Lessnau, R. G. (2005). Female age-specific reproductive rates, birth seasonality, and infant mortality of ring-tailed lemurs on St. Catherines Island: 17-year reproductive history of a free-ranging colony. Zoo Biology, 24:295-309."
