"ID","Birth.Date","Min.Birth.Date","Max.Birth.Date","Entry.Date","Depart.Date","Depart.Type","Sex"
"c080c647532e4f379ffb8d69f163f6c97497cc1c1aef01753444b131ec9abc66",1962-03-28,1962-03-28,1962-03-28,1962-03-28,2005-09-26,"D","Male"
"d5e0ea369848d109e549a06576c4994cb00400ad6ce3466eb3392228c4a6454f",1986-02-15,1986-02-15,1986-02-15,1986-02-15,2019-07-22,"C","Female"
"8660cc1421fe49a30036daa69f4e0881c686d9dd579e6ecc9e0148577416d270",1974-02-13,1974-02-13,1974-02-13,1974-02-13,2020-01-26,"D","Female"
"e79d716a139b8edb8082162c2fd3ec0c2c50ae9cb0559fe764e3a4a4803e3b0e",1996-08-02,1996-08-02,1996-08-02,1996-08-02,2000-12-08,"C","Female"
"dc045bf8b7da211847fe198b77fb9d09bea2ede07d8cf30efa22f96ec9e62ad5",1960-02-15,1960-02-15,1960-02-15,1960-02-15,2005-11-12,"D","Female"
"76e05554ccad347513cdd78e22f842f43c0433ca3df669f0ccdf812507d9f866",1973-01-29,1973-01-29,1973-01-29,1973-01-29,1986-10-12,"D","Female"
"bf4ac6f2d67c1ec051b7c0924a9a88f0534be8a1d96bbb214837a55d3ea9d145",1953-12-23,1953-12-23,1953-12-23,1953-12-23,1999-11-09,"D","Male"
"2fa53bcec9780f9f0a7a9f34bba09fcb4d315e3a0e769c87d14cecb5ddc7341d",1951-08-08,1951-08-08,1951-08-08,1951-08-08,1997-02-10,"D","Female"
"1f46106b7fb4decc808d2bc517f9bfcae942609ec6241c61966a707bd662cefe",1958-06-05,1958-06-05,1958-06-05,1958-06-05,2004-03-31,"D","Male"
"6bf1c206c10f2d595851de588d94fee875f5fe4301ca3f8b336d4a5877eaf548",1982-10-31,1982-10-31,1982-10-31,1982-10-31,1987-08-26,"C","Female"
"9f1b4d4b2eee42f775b738fe966d867b7969d633777125e52268efdaf8ba9f3c",1958-10-20,1958-10-20,1958-10-20,1958-10-20,2003-12-22,"D","Female"
"d9cc8df1801a3fabe5e235d0490069272ecb53e822dd626f3db28bf31a9827b4",1970-12-22,1970-12-22,1970-12-22,1970-12-22,1991-01-31,"C","Male"
"df620b82aa300838eeff8ca097c6083d1e4f6955ee2542fde1d3c7cd35c126a7",1955-08-21,1955-08-21,1955-08-21,1955-08-21,2001-07-04,"D","Male"
"0ba19fde7608ec7bb0b14e79e58be10d8ef9bee5618c9a0a46b67e9e173529b0",1975-02-08,1975-02-08,1975-02-08,1975-02-08,1980-03-30,"C","Female"
"109425f2355ef973744888c225ec7d1406df959885c3a8946ec20d03bcd0ee27",1969-01-26,1969-01-26,1969-01-26,1969-01-26,1973-10-09,"C","Male"
"19e250d8b13311d8f8a00b36af6a2295f61f29a97499280ef87eaa01e4b7834e",1956-09-11,1956-09-11,1956-09-11,1956-09-11,2003-07-26,"D","Male"
"30b57bdcc433f10c14110cac816bfe5c3c7d9c26d0549566199859866e6a8f82",1955-05-19,1955-05-19,1955-05-19,1955-05-19,2001-02-16,"D","Female"
"c024c171261f44b6bf325f9de5091ec44e33db436403a9e6596818360750d749",1950-01-16,1950-01-16,1950-01-16,1950-01-16,1995-05-10,"D","Male"
"cc5d5c7d94f34f2617d475d43e9b884bedce2450e557c3e7bd66eb30891387a3",1998-01-02,1998-01-02,1998-01-02,1998-01-02,2003-08-02,"C","Male"
"1a30e3d160e55add90865011aa11a37a8483641758727551fca9995bb5c83f28",1950-04-18,1950-04-18,1950-04-18,1950-04-18,1955-07-22,"C","Female"
"52519a851782b826600c81056683515f0b23d902a32d8e6f5f0753800db186e5",1965-10-20,1965-10-20,1965-10-20,1965-10-20,2010-02-17,"D","Female"
"347a2de3e5d409a1fda586624d6082addde61b4029d2c4e87a4c461e0d8327b5",1957-06-08,1957-06-08,1957-06-08,1957-06-08,2002-05-10,"D","Female"
"eb71e355cd0341919e0ae93ccac4d3ccc2117586d628aaf4b6aab51885e05272",1965-07-20,1965-07-20,1965-07-20,1965-07-20,2011-05-01,"D","Male"
"1f2ad749c594b0729c9f80fc191c10528d5e3a4a37c2f37db195e1cf3ef44379",1978-05-28,1978-05-28,1978-05-28,1978-05-28,2023-04-03,"D","Male"
"dd79985be8cf63e3f24eb60fe8fd66723ddd4d18264f3d1df505fc613975ad06",1973-12-16,1973-12-16,1973-12-16,1973-12-16,2018-09-19,"D","Male"
"0d5fc2577a109e1df582cc80b78cb9492ce653c7d5083029bc92c7881e0e22e8",1979-05-24,1979-05-24,1979-05-24,1979-05-24,2024-06-26,"D","Female"
"429d70c32b70c59263ee0987d3e1ac11c949779c807721856f429892b263928f",1975-09-22,1975-09-22,1975-09-22,1975-09-22,2020-06-25,"D","Male"
